,public_date,CAPEI,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,pretret_earnat,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_at,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,inv_turn,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,accrual,ptb,PEG_trailing,divyield,TICKER
366,2017-07-31,-8.97,0.347,10.395,16.877000000000002,17.575333333333333,17.697333333333333,17.697333333333333,1.572,10.137,0.0,0.056,0.207,0.108,0.207,0.059,0.162,0.117,0.139,0.079,0.04,0.139,0.088,0.139,0.093,0.074,0.117,0.303,0.692,0.699,0.695,0.066,0.065,0.188,0.169,0.124,0.541,4.635,0.01,0.213,0.704,0.72,0.54,0.084,0.445,1.254,2.281,0.762,0.719,3.241,1.901,1.732,0.884,1.11,1.336,17.675,12.211,0.565,20.935,7.567,0.729,2.404,10.362,0.0,0.03,0.0,-0.055,2.733,0.015,0.0,SNOW
367,2010-01-31,8.472,0.725,5.564,11.689,11.727,11.727,11.727,0.934,8.239,0.426,0.079,0.174,0.1,0.209,0.129,0.158,0.167,0.124,0.159,0.442,0.141,0.117,0.141,0.157,0.12,0.201,0.896,0.099,0.111,0.099,0.028,0.025,0.117,0.185,0.454,0.068,0.404,0.113,0.372,0.134,1.004,0.652,0.4,-0.169,0.778,0.097,0.45,0.23,0.822,46.084,56.692,0.315,1.065,1.308,11.289,18.774,0.961,9.685,7.964,1.575,1.757,18.698,0.005,0.0,0.0,-0.032,1.413,0.015,0.0377,CVX
368,2010-02-28,8.608,0.669,6.246,13.745,13.798,13.798,13.798,0.912,7.495,0.506,0.066,0.166,0.09,0.203,0.116,0.146,0.162,0.104,0.145,0.43,0.117,0.104,0.117,0.141,0.109,0.196,0.895,0.099,0.102,0.099,0.037,0.031,0.122,0.149,0.476,0.064,0.398,0.037,0.364,0.141,1.008,0.739,0.269,-0.024,0.747,0.098,0.438,0.227,0.784,35.827,47.581,0.337,1.209,1.42,8.795,20.511,0.978,9.493,7.612,1.551,1.733,14.475,0.004,0.0,0.0,-0.055,1.404,0.015,0.037599999999999995,CVX
369,2010-03-31,9.029,0.669,6.246,14.416,14.471,14.471,14.471,0.956,7.861,0.506,0.066,0.166,0.09,0.203,0.116,0.146,0.162,0.104,0.145,0.43,0.117,0.104,0.117,0.141,0.109,0.196,0.895,0.099,0.102,0.099,0.037,0.031,0.122,0.149,0.476,0.064,0.398,0.037,0.364,0.141,1.008,0.739,0.269,-0.024,0.747,0.098,0.438,0.227,0.784,35.827,47.581,0.337,1.209,1.42,8.795,20.511,0.978,9.493,7.612,1.551,1.733,14.475,0.004,0.0,0.0,-0.055,1.472,0.28700000000000003,0.0359,CVX
370,2010-04-30,9.698,0.669,6.246,15.483,15.542,15.542,15.542,1.027,8.444,0.506,0.066,0.166,0.09,0.203,0.116,0.146,0.162,0.104,0.145,0.43,0.117,0.104,0.117,0.141,0.109,0.196,0.895,0.099,0.102,0.099,0.037,0.031,0.122,0.149,0.476,0.064,0.398,0.037,0.364,0.141,1.008,0.739,0.269,-0.024,0.747,0.098,0.438,0.227,0.784,35.827,47.581,0.337,1.209,1.42,8.795,20.511,0.978,9.493,7.612,1.551,1.733,14.475,0.004,0.0,0.0,-0.055,1.582,0.558,0.0334,CVX
371,2010-05-31,8.752,0.7,5.023,11.009,11.058,11.209,11.209,0.868,6.06,0.406,0.077,0.182,0.11,0.215,0.135,0.152,0.192,0.131,0.186,0.43,0.148,0.121,0.148,0.18,0.145,0.224,0.892,0.102,0.106,0.102,0.03,0.029,0.121,0.165,0.467,0.066,0.35,0.041,0.362,0.144,1.189,0.937,0.269,0.272,0.757,0.101,0.44,0.228,0.79,42.766,59.367,0.335,1.185,1.419,9.722,21.974,1.04,9.862,8.293,1.667,1.868,15.618,0.004,0.0,0.0,-0.069,1.391,0.5680000000000001,0.039,CVX
372,2010-06-30,8.04,0.7,5.023,10.113,10.159,10.297,10.297,0.798,5.567,0.406,0.077,0.182,0.11,0.215,0.135,0.152,0.192,0.131,0.186,0.43,0.148,0.121,0.148,0.18,0.145,0.224,0.892,0.102,0.106,0.102,0.03,0.029,0.121,0.165,0.467,0.066,0.35,0.041,0.362,0.144,1.189,0.937,0.269,0.272,0.757,0.101,0.44,0.228,0.79,42.766,59.367,0.335,1.185,1.419,9.722,21.974,1.04,9.862,8.293,1.667,1.868,15.618,0.004,0.0,0.0,-0.069,1.278,0.578,0.0424,CVX
373,2010-07-31,9.029,0.7,5.023,11.358,11.409,11.564,11.564,0.896,6.252,0.406,0.077,0.182,0.11,0.215,0.135,0.152,0.192,0.131,0.186,0.43,0.148,0.121,0.148,0.18,0.145,0.224,0.892,0.102,0.106,0.102,0.03,0.029,0.121,0.165,0.467,0.066,0.35,0.041,0.362,0.144,1.189,0.937,0.269,0.272,0.757,0.101,0.44,0.228,0.79,42.766,59.367,0.335,1.185,1.419,9.722,21.974,1.04,9.862,8.293,1.667,1.868,15.618,0.004,0.0,0.0,-0.069,1.435,0.583,0.0378,CVX
374,2010-08-31,8.68,0.813,4.455,8.674,8.705,8.798,8.798,0.818,5.171,0.327,0.093,0.193,0.125,0.224,0.156,0.163,0.214,0.164,0.223,0.43,0.184,0.152,0.184,0.214,0.172,0.244,0.897,0.097,0.1,0.097,0.031,0.03,0.142,0.153,0.453,0.063,0.298,0.031,0.366,0.141,1.337,1.095,0.269,0.377,0.744,0.096,0.431,0.221,0.762,54.701,72.599,0.389,1.256,1.483,8.608,23.726,1.091,10.32,8.626,1.731,1.93,14.342,0.003,0.0,0.0,-0.072,1.342,0.588,0.038900000000000004,CVX
375,2010-09-30,9.496,0.813,4.455,9.491,9.524,9.626,9.626,0.895,5.657,0.327,0.093,0.193,0.125,0.224,0.156,0.163,0.214,0.164,0.223,0.43,0.184,0.152,0.184,0.214,0.172,0.244,0.897,0.097,0.1,0.097,0.031,0.03,0.142,0.153,0.453,0.063,0.298,0.031,0.366,0.141,1.337,1.095,0.269,0.377,0.744,0.096,0.431,0.221,0.762,54.701,72.599,0.389,1.256,1.483,8.608,23.726,1.091,10.32,8.626,1.731,1.93,14.342,0.003,0.0,0.0,-0.072,1.468,0.583,0.0355,CVX
376,2010-10-31,9.678,0.813,4.455,9.672,9.706,9.81,9.81,0.912,5.765,0.327,0.093,0.193,0.125,0.224,0.156,0.163,0.214,0.164,0.223,0.43,0.184,0.152,0.184,0.214,0.172,0.244,0.897,0.097,0.1,0.097,0.031,0.03,0.142,0.153,0.453,0.063,0.298,0.031,0.366,0.141,1.337,1.095,0.269,0.377,0.744,0.096,0.431,0.221,0.762,54.701,72.599,0.389,1.256,1.483,8.608,23.726,1.091,10.32,8.626,1.731,1.93,14.342,0.003,0.0,0.0,-0.072,1.496,0.578,0.0349,CVX
377,2010-11-30,9.402,0.702,4.437,9.526,9.571,9.674,9.674,0.879,5.41,0.333,0.091,0.197,0.128,0.228,0.157,0.163,0.219,0.159,0.227,0.43,0.178,0.148,0.178,0.217,0.175,0.248,0.899,0.094,0.097,0.095,0.031,0.03,0.164,0.143,0.434,0.062,0.287,0.029,0.367,0.14,1.37,1.13,0.269,0.354,0.737,0.094,0.426,0.219,0.747,55.016,76.389,0.448,1.325,1.547,7.671,24.202,1.087,10.37,8.555,1.714,1.906,12.725,0.003,0.0,0.0,-0.079,1.424,0.956,0.0356,CVX
378,2010-12-31,10.596,0.702,4.437,10.735,10.786,10.902,10.902,0.991,6.096,0.333,0.091,0.197,0.128,0.228,0.157,0.163,0.219,0.159,0.227,0.43,0.178,0.148,0.178,0.217,0.175,0.248,0.899,0.094,0.097,0.095,0.031,0.03,0.164,0.143,0.434,0.062,0.287,0.029,0.367,0.14,1.37,1.13,0.269,0.354,0.737,0.094,0.426,0.219,0.747,55.016,76.389,0.448,1.325,1.547,7.671,24.202,1.087,10.37,8.555,1.714,1.906,12.725,0.003,0.0,0.0,-0.079,1.605,1.077,0.0316,CVX
379,2011-01-31,11.023,0.702,4.437,11.168,11.221,11.342,11.342,1.03,6.342,0.333,0.091,0.197,0.128,0.228,0.157,0.163,0.219,0.159,0.227,0.43,0.178,0.148,0.178,0.217,0.175,0.248,0.899,0.094,0.097,0.095,0.031,0.03,0.164,0.143,0.434,0.062,0.287,0.029,0.367,0.14,1.37,1.13,0.269,0.354,0.737,0.094,0.426,0.219,0.747,55.016,76.389,0.448,1.325,1.547,7.671,24.202,1.087,10.37,8.555,1.714,1.906,12.725,0.003,0.0,0.0,-0.079,1.669,1.12,0.030299999999999997,CVX
380,2011-02-28,11.666,0.643,5.032,10.796,10.841,10.944,10.944,1.098,6.642,0.298,0.1,0.204,0.135,0.235,0.169,0.172,0.221,0.172,0.234,0.403,0.193,0.17,0.193,0.221,0.179,0.241,0.897,0.096,0.098,0.097,0.03,0.029,0.216,0.112,0.425,0.062,0.297,0.016,0.367,0.143,1.333,1.081,0.397,0.375,0.756,0.096,0.427,0.226,0.751,61.013,80.817,0.588,1.494,1.683,5.979,26.323,1.085,9.859,8.126,1.619,1.804,9.562,0.003,0.0,0.0,-0.071,1.768,0.558,0.0278,CVX
381,2011-03-31,12.087,0.643,5.032,11.185,11.232,11.339,11.339,1.138,6.881,0.298,0.1,0.204,0.135,0.235,0.169,0.172,0.221,0.172,0.234,0.403,0.193,0.17,0.193,0.221,0.179,0.241,0.897,0.096,0.098,0.097,0.03,0.029,0.216,0.112,0.425,0.062,0.297,0.016,0.367,0.143,1.333,1.081,0.397,0.375,0.756,0.096,0.427,0.226,0.751,61.013,80.817,0.588,1.494,1.683,5.979,26.323,1.085,9.859,8.126,1.619,1.804,9.562,0.003,0.0,0.0,-0.071,1.832,0.578,0.0268,CVX
382,2011-04-30,12.323,0.643,5.032,11.388,11.436,11.544,11.544,1.16,7.016,0.298,0.1,0.204,0.135,0.235,0.169,0.172,0.221,0.172,0.234,0.403,0.193,0.17,0.193,0.221,0.179,0.241,0.897,0.096,0.098,0.097,0.03,0.029,0.216,0.112,0.425,0.062,0.297,0.016,0.367,0.143,1.333,1.081,0.397,0.375,0.756,0.096,0.427,0.226,0.751,61.013,80.817,0.588,1.494,1.683,5.979,26.323,1.085,9.859,8.126,1.619,1.804,9.562,0.003,0.0,0.0,-0.071,1.868,0.588,0.0263,CVX
383,2011-05-31,11.822,0.579,4.482,10.126,10.185,10.185,10.185,1.048,6.266,0.278,0.103,0.206,0.141,0.236,0.177,0.171,0.236,0.184,0.255,0.403,0.206,0.171,0.206,0.242,0.196,0.26,0.904,0.09,0.096,0.091,0.031,0.029,0.2,0.127,0.422,0.061,0.266,0.058,0.373,0.135,1.439,1.169,0.397,0.397,0.742,0.089,0.424,0.221,0.74,65.837,88.828,0.536,1.413,1.62,5.976,25.88,1.105,10.224,8.336,1.744,1.93,11.276,0.003,0.0,0.0,-0.072,1.686,0.927,0.0297,CVX
384,2011-06-30,11.588,0.579,4.482,9.927,9.984,9.984,9.984,1.027,6.143,0.278,0.103,0.206,0.141,0.236,0.177,0.171,0.236,0.184,0.255,0.403,0.206,0.171,0.206,0.242,0.196,0.26,0.904,0.09,0.096,0.091,0.031,0.029,0.2,0.127,0.422,0.061,0.266,0.058,0.373,0.135,1.439,1.169,0.397,0.397,0.742,0.089,0.424,0.221,0.74,65.837,88.828,0.536,1.413,1.62,5.976,25.88,1.105,10.224,8.336,1.744,1.93,11.276,0.003,0.0,0.0,-0.072,1.653,0.909,0.030299999999999997,CVX
385,2011-07-31,11.721,0.579,4.482,10.041,10.099,10.099,10.099,1.039,6.213,0.278,0.103,0.206,0.141,0.236,0.177,0.171,0.236,0.184,0.255,0.403,0.206,0.171,0.206,0.242,0.196,0.26,0.904,0.09,0.096,0.091,0.031,0.029,0.2,0.127,0.422,0.061,0.266,0.058,0.373,0.135,1.439,1.169,0.397,0.397,0.742,0.089,0.424,0.221,0.74,65.837,88.828,0.536,1.413,1.62,5.976,25.88,1.105,10.224,8.336,1.744,1.93,11.276,0.003,0.0,0.0,-0.072,1.672,0.92,0.03,CVX
386,2011-08-31,10.886,0.636,4.454,8.572,8.632,8.632,8.632,0.913,5.388,0.255,0.106,0.211,0.15,0.239,0.184,0.17,0.251,0.197,0.281,0.403,0.221,0.183,0.221,0.266,0.215,0.274,0.908,0.086,0.095,0.087,0.031,0.028,0.206,0.127,0.426,0.06,0.247,0.09,0.386,0.128,1.468,1.181,0.397,0.36,0.746,0.084,0.425,0.225,0.744,73.119,101.68,0.534,1.391,1.593,5.04,26.226,1.143,10.268,8.285,1.817,2.002,11.751,0.002,0.0,0.0,-0.074,1.512,1.008,0.0316,CVX
387,2011-09-30,10.198,0.636,4.454,8.03,8.086,8.086,8.086,0.856,5.047,0.255,0.106,0.211,0.15,0.239,0.184,0.17,0.251,0.197,0.281,0.403,0.221,0.183,0.221,0.266,0.215,0.274,0.908,0.086,0.095,0.087,0.031,0.028,0.206,0.127,0.426,0.06,0.247,0.09,0.386,0.128,1.468,1.181,0.397,0.36,0.746,0.084,0.425,0.225,0.744,73.119,101.68,0.534,1.391,1.593,5.04,26.226,1.143,10.268,8.285,1.817,2.002,11.751,0.002,0.0,0.0,-0.074,1.416,0.944,0.0337,CVX
388,2011-10-31,11.57,0.636,4.454,9.111,9.175,9.175,9.175,0.971,5.727,0.255,0.106,0.211,0.15,0.239,0.184,0.17,0.251,0.197,0.281,0.403,0.221,0.183,0.221,0.266,0.215,0.274,0.908,0.086,0.095,0.087,0.031,0.028,0.206,0.127,0.426,0.06,0.247,0.09,0.386,0.128,1.468,1.181,0.397,0.36,0.746,0.084,0.425,0.225,0.744,73.119,101.68,0.534,1.391,1.593,5.04,26.226,1.143,10.268,8.285,1.817,2.002,11.751,0.002,0.0,0.0,-0.074,1.607,1.071,0.0297,CVX
389,2011-11-30,10.971,0.743,4.176,7.571,7.616,7.616,7.616,0.891,5.083,0.221,0.118,0.217,0.161,0.243,0.202,0.177,0.263,0.222,0.309,0.403,0.25,0.207,0.25,0.292,0.234,0.285,0.913,0.081,0.09,0.082,0.031,0.028,0.219,0.121,0.422,0.056,0.222,0.094,0.393,0.122,1.538,1.241,0.397,0.387,0.737,0.079,0.421,0.221,0.732,87.753,118.228,0.556,1.398,1.592,3.872,27.712,1.17,10.521,8.294,1.856,2.034,11.957,0.002,0.0,0.0,-0.069,1.494,0.451,0.0315,CVX
390,2011-12-31,11.353,0.743,4.176,7.835,7.881,7.881,7.881,0.923,5.26,0.221,0.118,0.217,0.161,0.243,0.202,0.177,0.263,0.222,0.309,0.403,0.25,0.207,0.25,0.292,0.234,0.285,0.913,0.081,0.09,0.082,0.031,0.028,0.219,0.121,0.422,0.056,0.222,0.094,0.393,0.122,1.538,1.241,0.397,0.387,0.737,0.079,0.421,0.221,0.732,87.753,118.228,0.556,1.398,1.592,3.872,27.712,1.17,10.521,8.294,1.856,2.034,11.957,0.002,0.0,0.0,-0.069,1.546,0.467,0.0305,CVX
391,2012-01-31,11.003,0.743,4.176,7.594,7.639,7.639,7.639,0.894,5.098,0.221,0.118,0.217,0.161,0.243,0.202,0.177,0.263,0.222,0.309,0.403,0.25,0.207,0.25,0.292,0.234,0.285,0.913,0.081,0.09,0.082,0.031,0.028,0.219,0.121,0.422,0.056,0.222,0.094,0.393,0.122,1.538,1.241,0.397,0.387,0.737,0.079,0.421,0.221,0.732,87.753,118.228,0.556,1.398,1.592,3.872,27.712,1.17,10.521,8.294,1.856,2.034,11.957,0.002,0.0,0.0,-0.069,1.499,0.453,0.031400000000000004,CVX
392,2012-02-29,10.893,0.65,4.315,8.059,8.119,8.119,8.119,0.913,5.249,0.228,0.114,0.217,0.162,0.242,0.202,0.171,0.26,0.211,0.309,0.433,0.238,0.21,0.238,0.287,0.233,0.273,0.92,0.074,0.077,0.075,0.027,0.027,0.23,0.104,0.409,0.048,0.198,0.033,0.385,0.112,1.524,1.223,0.471,0.355,0.712,0.072,0.417,0.21,0.719,94.385,132.983,0.597,1.419,1.584,1.922,32.46,1.199,11.106,8.654,1.79,1.947,12.035,0.003,0.0,0.0,-0.072,1.575,0.36,0.0297,CVX
393,2012-03-31,10.702,0.65,4.315,7.918,7.977,7.977,7.977,0.897,5.157,0.228,0.114,0.217,0.162,0.242,0.202,0.171,0.26,0.211,0.309,0.433,0.238,0.21,0.238,0.287,0.233,0.273,0.92,0.074,0.077,0.075,0.027,0.027,0.23,0.104,0.409,0.048,0.198,0.033,0.385,0.112,1.524,1.223,0.471,0.355,0.712,0.072,0.417,0.21,0.719,94.385,132.983,0.597,1.419,1.584,1.922,32.46,1.199,11.106,8.654,1.79,1.947,12.035,0.003,0.0,0.0,-0.072,1.548,0.354,0.0302,CVX
394,2012-04-30,10.614,0.65,4.315,7.87,7.929,7.929,7.929,0.89,5.115,0.228,0.114,0.217,0.162,0.242,0.202,0.171,0.26,0.211,0.309,0.433,0.238,0.21,0.238,0.287,0.233,0.273,0.92,0.074,0.077,0.075,0.027,0.027,0.23,0.104,0.409,0.048,0.198,0.033,0.385,0.112,1.524,1.223,0.471,0.355,0.712,0.072,0.417,0.21,0.719,94.385,132.983,0.597,1.419,1.584,1.922,32.46,1.199,11.106,8.654,1.79,1.947,12.035,0.003,0.0,0.0,-0.072,1.535,0.352,0.0304,CVX
395,2012-05-31,9.886,0.671,4.075,7.16,7.218,7.218,7.218,0.818,4.889,0.232,0.115,0.221,0.166,0.246,0.205,0.172,0.259,0.205,0.308,0.433,0.232,0.193,0.232,0.29,0.232,0.281,0.922,0.072,0.078,0.073,0.028,0.026,0.227,0.122,0.41,0.049,0.194,0.071,0.394,0.11,1.547,1.172,0.471,0.3,0.715,0.069,0.414,0.211,0.711,101.948,146.342,0.577,1.397,1.591,2.138,27.236,1.142,10.743,8.118,1.809,1.962,11.845,0.003,0.0,0.0,-0.061,1.367,0.403,0.0366,CVX
396,2012-06-30,10.609,0.671,4.075,7.684,7.746,7.746,7.746,0.878,5.246,0.232,0.115,0.221,0.166,0.246,0.205,0.172,0.259,0.205,0.308,0.433,0.232,0.193,0.232,0.29,0.232,0.281,0.922,0.072,0.078,0.073,0.028,0.026,0.227,0.122,0.41,0.049,0.194,0.071,0.394,0.11,1.547,1.172,0.471,0.3,0.715,0.069,0.414,0.211,0.711,101.948,146.342,0.577,1.397,1.591,2.138,27.236,1.142,10.743,8.118,1.809,1.962,11.845,0.003,0.0,0.0,-0.061,1.467,0.433,0.0341,CVX
397,2012-07-31,11.02,0.671,4.075,7.981,8.046,8.046,8.046,0.912,5.449,0.232,0.115,0.221,0.166,0.246,0.205,0.172,0.259,0.205,0.308,0.433,0.232,0.193,0.232,0.29,0.232,0.281,0.922,0.072,0.078,0.073,0.028,0.026,0.227,0.122,0.41,0.049,0.194,0.071,0.394,0.11,1.547,1.172,0.471,0.3,0.715,0.069,0.414,0.211,0.711,101.948,146.342,0.577,1.397,1.591,2.138,27.236,1.142,10.743,8.118,1.809,1.962,11.845,0.003,0.0,0.0,-0.061,1.524,0.449,0.0329,CVX
398,2012-08-31,11.002,0.709,4.184,8.29,8.351,8.351,8.351,0.955,5.658,0.244,0.116,0.221,0.165,0.248,0.207,0.175,0.246,0.195,0.29,0.433,0.22,0.184,0.22,0.271,0.218,0.27,0.923,0.071,0.073,0.071,0.026,0.025,0.236,0.12,0.393,0.046,0.193,0.034,0.384,0.11,1.535,1.171,0.471,0.305,0.7,0.068,0.409,0.204,0.696,107.108,151.247,0.615,1.44,1.637,1.354,26.53,1.088,10.801,7.896,1.709,1.853,10.896,0.003,0.0,0.0,-0.058,1.5,0.436,0.0321,CVX
399,2012-09-30,11.433,0.709,4.184,8.615,8.679,8.679,8.679,0.992,5.88,0.244,0.116,0.221,0.165,0.248,0.207,0.175,0.246,0.195,0.29,0.433,0.22,0.184,0.22,0.271,0.218,0.27,0.923,0.071,0.073,0.071,0.026,0.025,0.236,0.12,0.393,0.046,0.193,0.034,0.384,0.11,1.535,1.171,0.471,0.305,0.7,0.068,0.409,0.204,0.696,107.108,151.247,0.615,1.44,1.637,1.354,26.53,1.088,10.801,7.896,1.709,1.853,10.896,0.003,0.0,0.0,-0.058,1.559,0.453,0.030899999999999997,CVX
