date,TB3MS,T10Y2Y,BAA10Y
2015-02-02,0.02,1.19,2.61
2015-02-03,0.02,1.27,2.61
2015-02-04,0.02,1.29,2.6
2015-02-05,0.02,1.31,2.6
2015-02-06,0.02,1.3,2.55
2015-02-09,0.02,1.31,2.53
2015-02-10,0.02,1.34,2.53
2015-02-11,0.02,1.33,2.53
2015-02-12,0.02,1.38,2.54
2015-02-13,0.02,1.36,2.55
2015-02-16,0.02,1.36,2.55
2015-02-17,0.02,1.44,2.53
2015-02-18,0.02,1.45,2.53
2015-02-19,0.02,1.44,2.53
2015-02-20,0.02,1.46,2.5
2015-02-23,0.02,1.42,2.48
2015-02-24,0.02,1.39,2.49
2015-02-25,0.02,1.35,2.49
2015-02-26,0.02,1.37,2.44
2015-02-27,0.02,1.37,2.46
2015-03-01,0.03,1.37,2.46
2015-03-02,0.03,1.42,2.48
2015-03-03,0.03,1.44,2.46
2015-03-04,0.03,1.46,2.46
2015-03-05,0.03,1.46,2.47
2015-03-06,0.03,1.51,2.45
2015-03-09,0.03,1.5,2.46
2015-03-10,0.03,1.44,2.45
2015-03-11,0.03,1.41,2.45
2015-03-12,0.03,1.43,2.46
2015-03-13,0.03,1.45,2.47
2015-03-16,0.03,1.44,2.48
2015-03-17,0.03,1.36,2.49
2015-03-18,0.03,1.36,2.55
2015-03-19,0.03,1.35,2.5
2015-03-20,0.03,1.33,2.51
2015-03-23,0.03,1.32,2.54
2015-03-24,0.03,1.3,2.53
2015-03-25,0.03,1.34,2.53
2015-03-26,0.03,1.4,2.55
2015-03-27,0.03,1.37,2.53
2015-03-30,0.03,1.38,2.55
2015-03-31,0.03,1.38,2.55
2015-04-01,0.02,1.32,2.55
2015-04-02,0.02,1.37,2.55
2015-04-03,0.02,1.36,2.58
2015-04-06,0.02,1.41,2.58
2015-04-07,0.02,1.37,2.56
2015-04-08,0.02,1.38,2.51
2015-04-09,0.02,1.41,2.53
2015-04-10,0.02,1.39,2.53
2015-04-13,0.02,1.4,2.54
2015-04-14,0.02,1.37,2.54
2015-04-15,0.02,1.4,2.54
2015-04-16,0.02,1.4,2.55
2015-04-17,0.02,1.36,2.53
2015-04-20,0.02,1.35,2.55
2015-04-21,0.02,1.37,2.54
2015-04-22,0.02,1.42,2.53
2015-04-23,0.02,1.41,2.54
2015-04-24,0.02,1.39,2.56
2015-04-27,0.02,1.4,2.54
2015-04-28,0.02,1.44,2.55
2015-04-29,0.02,1.5,2.58
2015-04-30,0.02,1.47,2.6
2015-05-01,0.02,1.52,2.61
2015-05-04,0.02,1.56,2.61
2015-05-05,0.02,1.57,2.62
2015-05-06,0.02,1.6,2.64
2015-05-07,0.02,1.55,2.64
2015-05-08,0.02,1.57,2.65
2015-05-11,0.02,1.66,2.66
2015-05-12,0.02,1.67,2.65
2015-05-13,0.02,1.68,2.71
2015-05-14,0.02,1.67,2.74
2015-05-15,0.02,1.59,2.72
2015-05-18,0.02,1.65,2.73
2015-05-19,0.02,1.64,2.71
2015-05-20,0.02,1.66,2.73
2015-05-21,0.02,1.59,2.75
2015-05-22,0.02,1.57,2.74
2015-05-25,0.02,1.57,2.74
2015-05-26,0.02,1.5,2.73
2015-05-27,0.02,1.5,2.71
2015-05-28,0.02,1.51,2.75
2015-05-29,0.02,1.51,2.72
2015-06-01,0.02,1.55,2.75
2015-06-02,0.02,1.63,2.75
2015-06-03,0.02,1.69,2.72
2015-06-04,0.02,1.65,2.72
2015-06-05,0.02,1.68,2.69
2015-06-08,0.02,1.69,2.7
2015-06-09,0.02,1.7,2.73
2015-06-10,0.02,1.75,2.7
2015-06-11,0.02,1.66,2.71
2015-06-12,0.02,1.65,2.7
2015-06-15,0.02,1.64,2.73
2015-06-16,0.02,1.61,2.74
2015-06-17,0.02,1.65,2.76
2015-06-18,0.02,1.69,2.82
2015-06-19,0.02,1.61,2.82
2015-06-22,0.02,1.69,2.81
2015-06-23,0.02,1.72,2.82
2015-06-24,0.02,1.7,2.81
2015-06-25,0.02,1.72,2.8
2015-06-26,0.02,1.77,2.81
2015-06-29,0.02,1.69,2.84
2015-06-30,0.02,1.71,2.83
2015-07-01,0.03,1.74,2.83
2015-07-02,0.03,1.76,2.86
2015-07-03,0.03,1.76,2.86
2015-07-06,0.03,1.7,2.84
2015-07-07,0.03,1.69,2.84
2015-07-08,0.03,1.67,2.87
